title,content,link
★고용노동부 6년연속 우수훈련기관★ 전액무료 VR/AR개발자 부트캠프[2022년05월23일 개강],"[정부지원 전액무료 VR/AR 개발자 취업 부트캠프 5기 챌린저 모집]정원 마감시 조기 종료!100% 무료이지만 비전공자를 현업인 수준으로 키워 취업까지 연결해 주는곳!코딩을 전혀 배워보지 않았어도 취업이 가능합니다!- 전국 게임아카데미 中 취업률 1위- 기수별 평균 취업률 75%~85%- 고용노동부 지정 우수훈련기관으로 검증된 교육- 정부지원으로 수강료 523만원 전액지원! 100%무료수업!- 매달 훈련장려금 최대 616,000원 지급!!- ’취업책임제도’ 졸업후에도 취업성공까지 철저한 서포트 및 사후관리!대표번호 문의하기!02-479-4050홈페이지 바로가기!http://m.site.naver.com/0Vvna카카오로 무료상담하기!https://open.kakao.com/o/s5q7tFWd네이버로 무료상담하기!http://naver.me/FLDRIDKu구글로 무료상담하기!https://forms.gle/EabvCuQdQNxDEzNt8",http://okky.kr/article/1225952
C++ 링크드리스트 과제 중 LNK2019 오류,"#include<iostream>#include<string.h>usingnamespacestd;classNode{public:intdata;Node*next;};classList{public:List(void){head=NULL;}~List(void);boolIsEmpty(){returnhead==NULL;}Node*InsertNode(intindex,intx);intFindNode(intx);intDeleteNode(intx);voidDisplayList(void);private:Node*head;};Node*List::InsertNode(intindex,intx){if(index<0)returnNULL;intcurrIndex=1;Node*currNode=head;while(currNode&&index>currIndex){currNode=currNode->next;currIndex++;}if(index>0&&currNode==NULL)returnNULL;Node*newNode=newNode;newNode->data=x;if(index==0){newNode->next=head;head=newNode;}else{newNode->next=currNode->next;currNode->next=newNode;}returnnewNode;}intmain(){List list;char*command=(char*)malloc(sizeof(char)*10);intindex=0;intnum;cout<<""Please Enter Command (1 : insert, 2 : find, 3 : delete, 4 : print, 5: quit) : "";cin>>command;if(strcmp(command,""insert"")==0){cin>>num;list.InsertNode(index,num);index+=1;}return0;}링크드 리스트를 이용해 값을 저장, 수정, 삭제 등등을 하는 프로그램을 구현해야 하는데Insert 기능을 먼저 만들어 빌드하려 해보니 오류가 생깁니다.main 함수의 List list; 와 list.InsertNode(index, num); 을 주석 처리하고 빌드해보니 정상적으로 되는 걸 보니 이쪽이 문제인 것 같습니다. 그런데 뭔 짓을 해도 해결이 안되네요.. 뭐가 문제일까요?",http://okky.kr/article/1224908
c언어 기초 질문,질문1.int coin_toss(void) 와 int coin_toss() 는 차이가 없는 것인가요?,http://okky.kr/article/1224885
c/c++에 관해 간단한 질문입니다,"classA{public:intx;inty;intz;intaa;intab;intac;intad;A(){};};voidswap(A*a){printf(""매개변수 a 변수 사이즈: %d\n"",sizeof(&*a));printf(""매개변수 a 가 참조하고있는 변수 사이즈: %d\n"",sizeof(&a));}voidswap2(A&a){printf(""매개변수 a 변수 사이즈: %d\n"",sizeof(a));printf(""매개변수 a 가 참조하고있는 변수 사이즈: %d\n"",sizeof(&a));}intmain(){A a;cout<<""넘기려는 매개변수 사이즈: ""<<sizeof(&a)<<endl;swap(&a);cout<<endl;cout<<""넘기려는 매개변수 사이즈: ""<<sizeof(a)<<endl;swap2(a);}크기가 28바이트인 A 타입 인스턴스를 주소값으로 넘기는데swap에서는 매개변수부터 주소값으로주고 swap2에서는 a 인스턴스를 넘겨준다음에 swap2 내부에서 주소값으로 사용합니다그러면 이때 swap에서는 포인터변수(8바이트)로 주고 swap2에서는 인스턴스(28바이트)로 주었으니까 메모리측면에서 swap이 효율적인걸로 알고있는데 구글링하였을때 swap2 방식을 많이 사용하시는분도 계시더라고요혹시 제가 잘못알고있는지 궁금하여 질문드립니다.",http://okky.kr/article/1224030
c++ vector에 포인터 넣는 질문입니다... 제가 바보가 된 것 같아요...,"이게 현재 테스트 파일의 구조체 상태입니다.이것이 마우스 버튼을 클릭했을 때 이구요.이것이 따로 만들어둔 테스트 버튼을 누를 때 호출되는 코드입니다.분명 처음에 클릭하면 아래와 같이vector에 값이 잘 들어가게 되고, 넣자마자 바로 값을 찍어보면 알맞게 찍힙니다.하지만 이렇게 vector에 값이 잘 들어간 것을 확인하고 따로 만들어둔 테스트 버튼을 클릭하면갑자기 어디서 튀어나오는지도 모르겠는 이상한 값들이 들어가 있습니다. 분명히 포인터 값은 동일하게 잘 찍혀있는 것 같은데요.당최 뭐가 어떻게 돌아가는건지를 이해를 못하겠네요... 제가 벡터에 대해 뭔가를 잘못알고 있는걸까요? 정신 나갈거같습니다.",http://okky.kr/article/1222592
c++ 메모리에 문자열 할당 후 sizeof 질문,"classString{public:char*inputstr;intlen;intCapTemp;public:String(){len=0;inputstr=newchar[1];strcpy(inputstr,"""");CapTemp=sizeof(inputstr);}String(constchar*s){len=strlen(s)+1;//heap corruption detected 에러로 인해 +1inputstr=newchar[len];strcpy(inputstr,s);CapTemp=sizeof(inputstr);}~String()//소멸자{if(inputstr!=NULL)delete[]inputstr;}voidprint(){inti=0;for(inti=0;i<len;i++){printf(""%c"",inputstr[i]);}printf(""\n"");}intsize(){returnlen-1;}intcapacity(){returnCapTemp;}};intmain(){Stringtest1(""123456789"");cout<<""문자열 : "";test1.print();cout<<""문자열 길이 : ""<<test1.size()<<endl;cout<<""배열 크기 : ""<<test1.capacity()<<endl;}안녕하세요. 다름이 아니라 제가 만든 클래스에서 문자열 길이를 출력하고, 동적 할당된 메모리 사이즈를 도출하는 capacity를 구현하고자 하는데, 어떤 문자열을 넣어도 배열 크기가 4로만 나옵니다. 문자열 길이는 정상적으로 출력되구요. 혹시 어디가 잘못되어서 이런 결과가 나오는지 가르침을 구하고자 합니다.",http://okky.kr/article/1221427
엑세스거부 뜨는데 이유를 모르겠어요,"S_Table* SetSkip(Table* Sym, Table* Word){unsigned int i;S_Table* Skip = (S_Table*)malloc(sizeof(S_Table));for (i = 0; i < strlen(Sym->Symbol); i++) Skip->N_Skip[i] = -1; // 여기서 엑세스 오류가 뜨는데 왜일어나는지 모르겠습니다...for (i = 0; i < strlen(Word->Symbol); i++) {Skip->S_Skip[i] = Word->Symbol[i];Skip->N_Skip[Word->Symbol[i]] = i;}return Skip;}아래는 전체 코드 보여드리겠습니다.#include <iostream>#include <fstream>#include <string>using namespace std;struct Table {char* Symbol;int length;};struct S_Table {char* S_Skip;int* N_Skip;};S_Table* SetSkip(Table* Sym, Table* Word){unsigned int i;S_Table* Skip = (S_Table*)malloc(sizeof(S_Table));for (i = 0; i < strlen(Sym->Symbol); i++) Skip->N_Skip[i] = -1;for (i = 0; i < strlen(Word->Symbol); i++) {Skip->S_Skip[i] = Word->Symbol[i];Skip->N_Skip[Word->Symbol[i]] = i;}return Skip;}void Moore(char* Sym, char* Word, int N_Row){Table* _Sym = (Table*)malloc(sizeof(Table));Table* _Word = (Table*)malloc(sizeof(Table));_Sym->Symbol = Sym;_Sym->length = strlen(Sym);_Word->Symbol = Word;_Word->length = strlen(Word);S_Table *table = (S_Table*)malloc(sizeof(S_Table));table = SetSkip(_Sym, _Word);for (int i = 0; i < _Sym->length - _Word->length;){int ArrLen = _Word->length - 1;for (int j = 0; j < _Word->length; j++) {if (_Sym->Symbol[i + ArrLen] == _Word->Symbol[ArrLen]) ArrLen--;else break;}if (ArrLen < 0) cout << N_Row << ""번째 줄 "" << i << "" ~"" << i + _Word->length << ""에 위치합니다."" << endl;else i += ArrLen - table->N_Skip[_Word->Symbol[ArrLen]];}}int main(){int i = 1;string ReadStr;string ReadWord;char* ReadSym_S = (char*)malloc(sizeof(char) * 100);char* ReadSym_W = (char *)malloc(sizeof(char) * 100);ifstream file(""RFC2616_modified.txt"");getline(cin, ReadWord);strcpy(ReadSym_W, ReadWord.c_str());if (file.is_open()) {// 파일 열람while (getline(file, ReadStr)) {//txt 한 줄씩 tmpstring으로 로드됨strcpy(ReadSym_S, ReadStr.c_str());Moore(ReadSym_S, ReadSym_W, i);//Moore함수에서 word검색i++;}file.close();//파일 닫기}else {cout << ""로딩 실패"" << endl;return 1;}return 0;}",http://okky.kr/article/1216952
클래스 멤버 함수 외부 정의에 관한 질문 드립니다!,"#include <iostream>using namespace std;class Calculator{private:int a, b;public:void setValue(int x, int y){float Add();float Sub();float Mul();float Div();int And();int Or();int Not();int Xor();int Lshift();int Rshift();a = x, b = y;} ;int Calculator::Add(){return a + b;}ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ안녕하세요 코딩 입문자 질문드립니다!위와 같이 클래스 선언하고 클래스 멤버함수를 외부 정의하기 위해 int Calculator::Add()와 같은 코드를사용했는데, '정규화된 이름은 멤버 선언에 사용할 수 없습니다' 라고 오류가 발생합니다.해결 방법이 있을까요?",http://okky.kr/article/1215899
c++ 클래스 Manage에 대해 문의합니다,"#include <iostream>#pragma warning(disable:4996)using namespace std;class Department{protected:int id;char* name;public:Department(int dep_id, char* dep_name) : id(dep_id){name = new char[strlen(dep_name) + 1];strcpy(name, dep_name);}void ShowDep(){cout << ""id"" << id << endl;cout << ""Department"" << name << endl;}~Department(){delete[]name;}};class Member{protected:int id;char* name;Department dept;public:Member(char* mem_name, int mem_id) : id(mem_id){name = new char[strlen(mem_name) + 1];strcpy(name, mem_name);id++;}void ShowName(){cout << ""이름 : "" << name;}~Member(){delete[]name;}};class Professor :public Member{protected:char* office;public:Professor(char* pro_name, int pro_id, char* pro_office) : Member(pro_name, pro_id){office = new char[strlen(pro_office) + 1];strcpy(office, pro_office);}void ShowData_P(){cout << ""교수 "";ShowName();cout << ""사무실 : "" << office << endl;}~Professor(){delete[]office;}};class Student : public Member{private:int grade;public:Student(char* stu_name, int stu_id, int stu_grade) : Member(stu_name, stu_id){grade = stu_grade;}void ShowData_S(){cout << ""학생 "";ShowName();cout << ""학년 : "" << grade << endl;}~Student(){}};class DeptManager : public Department{private:Department* dlist[10];int index;public:DeptManager() : index(0){ }void Add(){char name[50];cout << ""id: "" << index << endl;cout << ""name"";cin >> name;dlist[index++] = new Department(index + 1, name);}Department* Find(int id){char* dp_name;cout << "" Department ID "";for (int i=0;i<index;i++){if (dlist[i]->id == id);strcpy(dlist[i]->name, dp_name)}}void ShowAll() const{for (int i = 0; i < index; i++)dlist[i]->ShowDep();}};class MemberManager{private:Student* SList[50];Professor* PList[50];int index1;int index2;public:DeptManager dm;MemberManager() : index1(0), index2(0){? }void AddStudent(){char name[100];int id;int grade;cout << ""학생의 인적사항을 기입하시오."" << endl;cout << ""이름 : "", cin >> name;cout << ""학년 : "", cin >> grade;SList[index1++] = new Student(name, id, grade);}void AddProfessor(){char name[100];int id;char office[100];cout << ""교수의 인적사항을 기입하시오."" << endl;cout << ""이름 : "", cin >> name;cout << ""사무실 : "", cin >> office;PList[index2++] = new Professor(name, id, office);}void FindMember() const{}void ShowAllStudents() const{for (int i = 0; i < index1; i++)SList[i]->ShowData_S();}void ShowAllProfessors() const{for (int i = 0; i < index2; i++)PList[i]->ShowData_P();}void ShowAll() const{cout << ""===================="" << endl << endl;for (int i = 0; i < index1; i++){SList[i]->ShowData_S();PList[i]->ShowData_P();}cout << ""===================="" << endl << endl;}~MemberManager(){for (int i = 0; i < index1; i++){delete SList[i];delete PList[i];}}};class MainMenu{private:int sel;public:MainMenu() : sel(0){? }int IssueMenu(){cout << ""===================="" << endl;cout << ""? ? <Main Menu>"" << endl;cout << ""1. Add a new student"" << endl;cout << ""2. Add a new professor"" << endl;cout << ""3. Add a new department "" << endl;cout << endl;cout << ""Show all members"" << endl;cout << ""Show all departments"" << endl;cout << endl;cout << ""Find a member by name"" << endl;cout << endl;cout << ""9. Clear screen"" << endl;cout << ""0. Quit"" << endl;cout << ""===================="" << endl;cin >> sel;if ((sel < 0 && sel>10) || (sel > 7 && sel < 8)) {cout << ""다른 값을 입력하십시오. "" << endl;IssueMenu();}return sel;}};class MainCtrl : public DeptManager, MemberManager{private:MemberManager mMhr;DeptManager dMgrr;public:MainCtrl(){MainMenu mm;MemberManager sm;DeptManager dm;while (true){switch (mm.IssueMenu()){case 1:{sm.AddStudent();break;}case 2:{sm.AddProfessor();break;}case 3:{dm.Add();break;}case 4:{sm.ShowAll();break;}case 5:{dm.ShowAll();break;}case 6:{sm.FindMember();}case 9:{system(""CLS"");break;}case 0:{cout << ""프로그램을 종료합니다. "" << endl;return;}default:cout << ""다른 값을 입력하십시오."" << endl;}}}};MainCtrl mc;void main(){}위는 소스코드 전문이고 아래는 다이어그램입니다 요지는 제가 만든 Find부분의 함수 작성 방법을 모르겠어서 문의드립니다",http://okky.kr/article/1215276
win32 api에서 windows.h 사용부분 파트,"현재 독학으로 공부하는 부분이라 무슨 함수를 써야하는지 조차 모르는 상태입니다이 코드에서 float값도 넣을 수 있게하기랑 예각삼각형 무게중심값도 나오게 하고싶습니다답변 부탁드리겠습니다!#include<stdio.h>#include<windows.h>HWND hwnd;HDC hdc;intmain(){inta,b,d=0;intc=0;printf(""높이가 1인 예각삼각형의 무게중심 나타내는 프로그램\n"");printf(""작성할 삼각형의 꼭짓점 3개를 입력하시오.\n"");printf(""1번째 꼭짓점: "");scanf_s(""%d"",&b);printf(""2번째 꼭짓점: "");scanf_s(""%d"",&a);printf(""3번째 꼭짓점: "");scanf_s(""%d"",&d);while(a<0){printf(""-값 혹은 문자는 입력할 수 없습니다. 다시 입력하시오.\n"");printf(""1번째 꼭짓점: "");scanf_s(""%d"",&b);printf(""2번째 꼭짓점: "");scanf_s(""%d"",&a);printf(""3번째 꼭짓점: "");scanf_s(""%d"",&d);}while(b<0){printf(""-값 혹은 문자는 입력할 수 없습니다. 다시 입력하시오.\n"");printf(""1번째 꼭짓점: "");scanf_s(""%d"",&b);printf(""2번째 꼭짓점: "");scanf_s(""%d"",&a);printf(""3번째 꼭짓점: "");scanf_s(""%d"",&d);}while(d<0){printf(""-값 혹은 문자는 입력할 수 없습니다. 다시 입력하시오.\n"");printf(""1번째 꼭짓점: "");scanf_s(""%d"",&b);printf(""2번째 꼭짓점: "");scanf_s(""%d"",&a);printf(""3번째 꼭짓점: "");scanf_s(""%d"",&d);while(a,b,d<0){printf(""다시 입력하시오.\n"");printf(""1번째 꼭짓점: "");scanf_s(""%d"",&b);printf(""2번째 꼭짓점: "");scanf_s(""%d"",&a);printf(""3번째 꼭짓점: "");scanf_s(""%d"",&d);}}hwnd=GetForegroundWindow();hdc=GetWindowDC(hwnd);MoveToEx(hdc,800,500,0);LineTo(hdc,2000,500);MoveToEx(hdc,800,500,0);LineTo(hdc,800,0);MoveToEx(hdc,(a*5)+800,300,0);LineTo(hdc,(a*5)+800,300);MoveToEx(hdc,(b*5)+800,500,0);LineTo(hdc,(a*5)+800,300);MoveToEx(hdc,(a*5)+800,300,0);LineTo(hdc,(d*5)+800,500);MoveToEx(hdc,790,510,0);LineTo(hdc,790,490);MoveToEx(hdc,850,510,0);LineTo(hdc,850,490);MoveToEx(hdc,900,510,0);LineTo(hdc,900,490);MoveToEx(hdc,950,510,0);LineTo(hdc,950,490);MoveToEx(hdc,1000,510,0);LineTo(hdc,1000,490);MoveToEx(hdc,1050,510,0);LineTo(hdc,1050,490);MoveToEx(hdc,1100,510,0);LineTo(hdc,1100,490);MoveToEx(hdc,1150,510,0);LineTo(hdc,1150,490);MoveToEx(hdc,1200,510,0);LineTo(hdc,1200,490);MoveToEx(hdc,1250,510,0);LineTo(hdc,1250,490);MoveToEx(hdc,1300,510,0);LineTo(hdc,1300,490);for(inti=0;i<50;i++){SetPixel(hdc,800+(i*25),300,RGB(255,0,0));if(800+(i*25)>(a*5)+800)break;}TextOut(hdc,800,520,""0"",1);TextOut(hdc,840,520,""10"",2);TextOut(hdc,890,520,""20"",2);TextOut(hdc,940,520,""30"",2);TextOut(hdc,990,520,""40"",2);TextOut(hdc,1040,520,""50"",2);TextOut(hdc,1090,520,""60"",2);TextOut(hdc,1140,520,""70"",2);TextOut(hdc,1190,520,""80"",2);TextOut(hdc,1240,520,""90"",2);TextOut(hdc,1290,520,""100"",3);TextOut(hdc,780,300,""1"",1);MoveToEx(hdc,c+800,550,0);LineTo(hdc,c+800,490);c=((a*5)+(b*5))*1/2;MoveToEx(hdc,c+800,550,0);LineTo(hdc,c+800,490);TextOut(hdc,c+780,550,""중심값 : "",10);return0;}",http://okky.kr/article/1214313
while문 작동이 안되는데 왜 그런지 모르겠습니다,"while 문이 안도는데 무슨 문제일까요?#include <iostream>#include <cstring>using namespace std;int main(){char bigstr[100];while (true) {cout << ""문자열 입력"";char str[100];gets_s(str);int a=strcmp(str,""quit"");if(a==0)break;strcat_s(bigstr,str);strcat_s(bigstr, ""\n"");if (strlen(bigstr) > 100)break;}cout << bigstr;}",http://okky.kr/article/1212319
[C++] 안녕하세요 C++ 기초적인 문자열 반복 입력에 관한 문제입니다,"코딩 독학 시작한지 며칠안된 코린이입니다.. ㅠ문자열을 반복해서 입력받는 프로그램을 작성하는데,크기가 80인 char형 문자열을 선언 후에(str1),문자열을 입력 받을때마다 그 배열(str1)에?연결시키는 문제입니다.문자열이 입력될 때마다 각 문자열의 끝에 뉴라인 문자를 입력하고, finish 를 입력하면 그 배열을 출력합니다.문자열을 입력받다가 str의 최대크기를 넘어가면 프로그램 수행을 중단합니다.이틀째 고민중인데 잘 모르겠네요.string 관련 함수들이랑 string문 쓰면 편하겠지만.. char형 배열을 사용해야 해서ㅠ",http://okky.kr/article/1210814
.,.,http://okky.kr/article/1210719
QT로 차트를 만들고있는데요,"Chart::Chart(QWidget*parent):QMainWindow(parent),ui(newUi::Chart){ui->setupUi(this);QLineSeries*series=newQLineSeries();series->setName(""chart"");QSqlQuery query;query.prepare(""select time,sv from hmidata where time like'2022-04-22%'"");query.addBindValue(""time"");if(query.exec()){intc=1;while(query.next()){series->append(c,query.value(query.record().indexOf(""SV"")).toDouble());c++;}}else{qDebug()<<query.lastError();}QChart*chart=newQChart();chart->legend()->hide();chart->addSeries(series);chart->createDefaultAxes();chart->setTitle(""태양열 전압"");QChartView*chartView=newQChartView(chart);chartView->setRenderHint(QPainter::Antialiasing);this->setCentralWidget(chartView);this->resize(400,300);chart->setAnimationOptions(QChart::SeriesAnimations);this->show();this->showMaximized();}Chart::~Chart(){deleteui;}현재 이런 코드로 되어있는데데이터는 잘 불러와집니다. Y축은 태양열 전압인데 X축이 카운트형식으로 되어서 행을 불러오는 것인데요.제가 현재원하는건 향후에 날짜를 선택해서 해당날짜에 대한 데이터를 받을건데 지금 X축이 카운트 형식말고 날짜형태로 출력하고싶은데 조언 좀 받고싶습니다. append()<< 얘가 query를 두개 박아버리니까 전부 출력시켜주지않고 x축은 아예 없는거처럼 인식해버리네요.append(query.value(query.record().indexOf(""TIME"")).toDouble(), query.value(query.record().indexOf(""SV"")).toDouble())이런 식으로 해버리면 오류는 안뜨는데 실행시키면 x축은 데이터가 안불러와집니다.조언이 필요합니다.",http://okky.kr/article/1210509
